Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Afghanistan","Export Quantity","Almonds shelled","2019","tonnes","6848"
"Crops and livestock products","Afghanistan","Export Quantity","Almonds shelled","2020","tonnes","4123"
"Crops and livestock products","Afghanistan","Export Value","Almonds shelled","2019","1000 US$","35145"
"Crops and livestock products","Afghanistan","Export Value","Almonds shelled","2020","1000 US$","24419"
"Crops and livestock products","Afghanistan","Export Quantity","Barley","2019","tonnes","3485"
"Crops and livestock products","Afghanistan","Export Quantity","Barley","2020","tonnes","1528"
"Crops and livestock products","Afghanistan","Export Value","Barley","2019","1000 US$","972"
"Crops and livestock products","Afghanistan","Export Value","Barley","2020","1000 US$","398"
"Crops and livestock products","Afghanistan","Export Quantity","Cotton lint","2019","tonnes","35492"
"Crops and livestock products","Afghanistan","Export Quantity","Cotton lint","2020","tonnes","52279"
"Crops and livestock products","Afghanistan","Export Value","Cotton lint","2019","1000 US$","23668"
"Crops and livestock products","Afghanistan","Export Value","Cotton lint","2020","1000 US$","34820"
"Crops and livestock products","Afghanistan","Export Quantity","Figs dried","2019","tonnes","12070"
"Crops and livestock products","Afghanistan","Export Quantity","Figs dried","2020","tonnes","16318"
"Crops and livestock products","Afghanistan","Export Value","Figs dried","2019","1000 US$","85581"
"Crops and livestock products","Afghanistan","Export Value","Figs dried","2020","1000 US$","95540"
"Crops and livestock products","Afghanistan","Export Quantity","Fruit, fresh nes","2019","tonnes","61081"
"Crops and livestock products","Afghanistan","Export Quantity","Fruit, fresh nes","2020","tonnes","25868"
"Crops and livestock products","Afghanistan","Export Value","Fruit, fresh nes","2019","1000 US$","14747"
"Crops and livestock products","Afghanistan","Export Value","Fruit, fresh nes","2020","1000 US$","18841"
"Crops and livestock products","Afghanistan","Export Quantity","Linseed","2020","tonnes","0"
"Crops and livestock products","Afghanistan","Export Value","Linseed","2020","1000 US$","0"
"Crops and livestock products","Afghanistan","Export Quantity","Maize","2019","tonnes","16"
"Crops and livestock products","Afghanistan","Export Quantity","Maize","2020","tonnes","215"
"Crops and livestock products","Afghanistan","Export Value","Maize","2019","1000 US$","3"
"Crops and livestock products","Afghanistan","Export Value","Maize","2020","1000 US$","26"
"Crops and livestock products","Afghanistan","Export Quantity","Meat, pig, preparations","2019","tonnes","0"
"Crops and livestock products","Afghanistan","Export Value","Meat, pig, preparations","2019","1000 US$","0"
"Crops and livestock products","Afghanistan","Export Quantity","Oil, linseed","2020","tonnes","0"
"Crops and livestock products","Afghanistan","Export Value","Oil, linseed","2020","1000 US$","0"
"Crops and livestock products","Afghanistan","Export Quantity","Oil, olive, virgin","2020","tonnes","0"
"Crops and livestock products","Afghanistan","Export Value","Oil, olive, virgin","2020","1000 US$","1"
"Crops and livestock products","Afghanistan","Export Quantity","Raisins","2019","tonnes","31740"
"Crops and livestock products","Afghanistan","Export Quantity","Raisins","2020","tonnes","39786"
"Crops and livestock products","Afghanistan","Export Value","Raisins","2019","1000 US$","65599"
"Crops and livestock products","Afghanistan","Export Value","Raisins","2020","1000 US$","80410"
"Crops and livestock products","Afghanistan","Export Quantity","Rice, husked","2020","tonnes","5"
"Crops and livestock products","Afghanistan","Export Value","Rice, husked","2020","1000 US$","2"
"Crops and livestock products","Afghanistan","Export Quantity","Rice, milled","2019","tonnes","475"
"Crops and livestock products","Afghanistan","Export Value","Rice, milled","2019","1000 US$","90"
"Crops and livestock products","Afghanistan","Export Quantity","Sunflower seed","2019","tonnes","393"
"Crops and livestock products","Afghanistan","Export Value","Sunflower seed","2019","1000 US$","140"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables in vinegar","2019","tonnes","1"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables in vinegar","2020","tonnes","17"
"Crops and livestock products","Afghanistan","Export Value","Vegetables in vinegar","2019","1000 US$","1"
"Crops and livestock products","Afghanistan","Export Value","Vegetables in vinegar","2020","1000 US$","20"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables, dehydrated","2019","tonnes","10"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables, dehydrated","2020","tonnes","64"
"Crops and livestock products","Afghanistan","Export Value","Vegetables, dehydrated","2019","1000 US$","43"
"Crops and livestock products","Afghanistan","Export Value","Vegetables, dehydrated","2020","1000 US$","124"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables, frozen","2019","tonnes","27"
"Crops and livestock products","Afghanistan","Export Quantity","Vegetables, frozen","2020","tonnes","9"
"Crops and livestock products","Afghanistan","Export Value","Vegetables, frozen","2019","1000 US$","27"
"Crops and livestock products","Afghanistan","Export Value","Vegetables, frozen","2020","1000 US$","15"
"Crops and livestock products","Afghanistan","Export Quantity","Wheat","2020","tonnes","21"
"Crops and livestock products","Afghanistan","Export Value","Wheat","2020","1000 US$","7"
"Crops and livestock products","Albania","Export Quantity","Almonds shelled","2019","tonnes","6"
"Crops and livestock products","Albania","Export Quantity","Almonds shelled","2020","tonnes","4"
"Crops and livestock products","Albania","Export Value","Almonds shelled","2019","1000 US$","26"
"Crops and livestock products","Albania","Export Value","Almonds shelled","2020","1000 US$","31"
"Crops and livestock products","Albania","Export Quantity","Figs dried","2019","tonnes","138"
"Crops and livestock products","Albania","Export Quantity","Figs dried","2020","tonnes","214"
"Crops and livestock products","Albania","Export Value","Figs dried","2019","1000 US$","165"
"Crops and livestock products","Albania","Export Value","Figs dried","2020","1000 US$","315"
"Crops and livestock products","Albania","Export Quantity","Fruit, fresh nes","2019","tonnes","46"
"Crops and livestock products","Albania","Export Quantity","Fruit, fresh nes","2020","tonnes","254"
"Crops and livestock products","Albania","Export Value","Fruit, fresh nes","2019","1000 US$","49"
"Crops and livestock products","Albania","Export Value","Fruit, fresh nes","2020","1000 US$","400"
"Crops and livestock products","Albania","Export Quantity","Maize","2019","tonnes","18"
"Crops and livestock products","Albania","Export Value","Maize","2019","1000 US$","69"
"Crops and livestock products","Albania","Export Quantity","Meat, pig, preparations","2019","tonnes","0"
"Crops and livestock products","Albania","Export Value","Meat, pig, preparations","2019","1000 US$","1"
"Crops and livestock products","Albania","Export Quantity","Oil, olive, virgin","2019","tonnes","78"
"Crops and livestock products","Albania","Export Quantity","Oil, olive, virgin","2020","tonnes","16"
"Crops and livestock products","Albania","Export Value","Oil, olive, virgin","2019","1000 US$","313"
"Crops and livestock products","Albania","Export Value","Oil, olive, virgin","2020","1000 US$","77"
"Crops and livestock products","Albania","Export Quantity","Oil, palm","2019","tonnes","0"
"Crops and livestock products","Albania","Export Value","Oil, palm","2019","1000 US$","1"
"Crops and livestock products","Albania","Export Quantity","Vegetables in vinegar","2019","tonnes","127"
"Crops and livestock products","Albania","Export Quantity","Vegetables in vinegar","2020","tonnes","60"
"Crops and livestock products","Albania","Export Value","Vegetables in vinegar","2019","1000 US$","160"
"Crops and livestock products","Albania","Export Value","Vegetables in vinegar","2020","1000 US$","117"
"Crops and livestock products","Albania","Export Quantity","Vegetables, dehydrated","2019","tonnes","304"
"Crops and livestock products","Albania","Export Value","Vegetables, dehydrated","2019","1000 US$","772"
"Crops and livestock products","Albania","Export Quantity","Vegetables, frozen","2019","tonnes","5"
"Crops and livestock products","Albania","Export Value","Vegetables, frozen","2019","1000 US$","35"
"Crops and livestock products","Algeria","Export Quantity","Almonds shelled","2019","tonnes","12"
"Crops and livestock products","Algeria","Export Quantity","Almonds shelled","2020","tonnes","3"
"Crops and livestock products","Algeria","Export Value","Almonds shelled","2019","1000 US$","46"
"Crops and livestock products","Algeria","Export Value","Almonds shelled","2020","1000 US$","7"
"Crops and livestock products","Algeria","Export Quantity","Figs dried","2019","tonnes","0"
"Crops and livestock products","Algeria","Export Quantity","Figs dried","2020","tonnes","6"
"Crops and livestock products","Algeria","Export Value","Figs dried","2019","1000 US$","1"
"Crops and livestock products","Algeria","Export Value","Figs dried","2020","1000 US$","11"
"Crops and livestock products","Algeria","Export Quantity","Flour, cassava","2019","tonnes","13"
"Crops and livestock products","Algeria","Export Value","Flour, cassava","2019","1000 US$","2"
"Crops and livestock products","Algeria","Export Quantity","Fruit, fresh nes","2019","tonnes","8"
"Crops and livestock products","Algeria","Export Quantity","Fruit, fresh nes","2020","tonnes","20"
"Crops and livestock products","Algeria","Export Value","Fruit, fresh nes","2019","1000 US$","9"
"Crops and livestock products","Algeria","Export Value","Fruit, fresh nes","2020","1000 US$","3"
"Crops and livestock products","Algeria","Export Quantity","Maize","2019","tonnes","0"
"Crops and livestock products","Algeria","Export Quantity","Maize","2020","tonnes","5"
"Crops and livestock products","Algeria","Export Value","Maize","2019","1000 US$","0"
"Crops and livestock products","Algeria","Export Value","Maize","2020","1000 US$","1"
"Crops and livestock products","Algeria","Export Quantity","Oil, linseed","2019","tonnes","0"
"Crops and livestock products","Algeria","Export Quantity","Oil, linseed","2020","tonnes","0"
"Crops and livestock products","Algeria","Export Value","Oil, linseed","2019","1000 US$","1"
"Crops and livestock products","Algeria","Export Value","Oil, linseed","2020","1000 US$","0"
"Crops and livestock products","Algeria","Export Quantity","Oil, olive residues","2019","tonnes","36"
"Crops and livestock products","Algeria","Export Quantity","Oil, olive residues","2020","tonnes","3"
"Crops and livestock products","Algeria","Export Value","Oil, olive residues","2019","1000 US$","46"
"Crops and livestock products","Algeria","Export Value","Oil, olive residues","2020","1000 US$","16"
"Crops and livestock products","Algeria","Export Quantity","Oil, olive, virgin","2019","tonnes","74"
"Crops and livestock products","Algeria","Export Quantity","Oil, olive, virgin","2020","tonnes","229"
"Crops and livestock products","Algeria","Export Value","Oil, olive, virgin","2019","1000 US$","235"
"Crops and livestock products","Algeria","Export Value","Oil, olive, virgin","2020","1000 US$","697"
"Crops and livestock products","Algeria","Export Quantity","Oil, palm","2019","tonnes","530"
